opcode,api,permissions,score,feature_importance_unobf,stability_change,ranking
iput-char_freq,,,0.0034908973066952354,0.003878774785216928,0.003878774785216928,80
or-int/2addr_freq,,,0.0034804240911815204,0.003867137879090578,0.003867137879090578,81
,done_call,,0.0034682152203111085,0.003853572467012343,0.003853572467012343,82
,getDefault_call,,0.0034546153344999376,0.0038384614827777085,0.0038384614827777085,83
sput-short_freq,,,0.003378798498443134,0.003754220553825705,0.003754220553825705,84
,SecretKeySpec_call,,0.0033639508518709016,0.0037377231687454465,0.0037377231687454465,85
goto_freq,,,0.0033618959753872867,0.003735439972652541,0.003735439972652541,86
,getLac_call,,0.0033578258516912983,0.0037309176129903315,0.0037309176129903315,87
,init_call,,0.0032554748349078164,0.0036171942610086854,0.0036171942610086854,88
iget-boolean_freq,,,0.0032327639848795916,0.0035919599831995466,0.0035919599831995466,89
sget-char_freq,,,0.003213161521145109,0.00357017946793901,0.00357017946793901,90
sub-double_freq,,,0.003201250526191831,0.0035569450291020347,0.0035569450291020347,91
,readLine_call,,0.003180363314342333,0.0035337370159359257,0.0035337370159359257,92
div-int/2addr_freq,,,0.00317343990504088,0.003526044338934311,0.003526044338934311,93
,getWithUri_call,,0.0031419327939849378,0.003491036437761042,0.003491036437761042,94
and-int/lit16_freq,,,0.003104818734279554,0.003449798593643949,0.003449798593643949,95
,onStartCommand_call,,0.0031005787194757157,0.0034450874660841286,0.0034450874660841286,96
and-long/2addr_freq,,,0.0030527947629207667,0.0033919941810230743,0.0033919941810230743,97
neg-double_freq,,,0.0030335214599079246,0.0033705793998976942,0.0033705793998976942,98
,,android.permission.READ_EXTERNAL_STORAGE_perm,0.003018977552652883,0.003354419502947648,0.003354419502947648,99
mul-int_freq,,,0.002990601558619687,0.003322890620688541,0.003322890620688541,100
,sendStickyBroadcastAsUser_call,,0.0029704207320358036,0.003300467480039782,0.003300467480039782,101
packed-switch_freq,,,0.002953547501239528,0.003281719445821698,0.003281719445821698,102
long-to-double_freq,,,0.0029320495148511,0.003257832794279,0.003257832794279,103
,query_call,,0.002884165897562928,0.00320462877506992,0.00320462877506992,104
,getMessageDigest_call,,0.0028361589685948815,0.003151287742883202,0.003151287742883202,105
sub-float/2addr_freq,,,0.002825015860792468,0.003138906511991631,0.003138906511991631,106
,getEvdoDbm_call,,0.002805186920750122,0.0031168743563890246,0.0031168743563890246,107
,getBlockSize_call,,0.0027949801065151655,0.0031055334516835176,0.0031055334516835176,108
,sendStickyOrderedBroadcast_call,,0.0027270780922737012,0.003030086769193002,0.003030086769193002,109
invoke-static_freq,,,0.0027147270215057535,0.0030163633572286154,0.0030163633572286154,110
move_freq,,,0.002670374586611739,0.0029670828740130436,0.0029670828740130436,111
,disconnect_call,,0.0025936497751075966,0.002881833083452885,0.002881833083452885,112
or-int/lit16_freq,,,0.002582424786493049,0.0028693608738811654,0.0028693608738811654,113
iput-short_freq,,,0.002580778598006122,0.0028675317755623582,0.0028675317755623582,114
if-nez_freq,,,0.002570829163187339,0.0028564768479859325,0.0028564768479859325,115
,isError_call,,0.0025662989999474597,0.0028514433332749558,0.0028514433332749558,116
sget-byte_freq,,,0.0025555270672901493,0.002839474519211277,0.002839474519211277,117
move-result_freq,,,0.0025182828781266466,0.0027980920868073854,0.0027980920868073854,118
,bindService_call,,0.002506385493109722,0.002784872770121914,0.002784872770121914,119
sput-boolean_freq,,,0.002503446101575364,0.0027816067795281823,0.0027816067795281823,120
,getDeviceId_call,,0.0024939396708362855,0.002771044078706984,0.002771044078706984,121
sput-byte_freq,,,0.0024843097795814464,0.0027603441995349407,0.0027603441995349407,122
float-to-int_freq,,,0.002472730990210969,0.002747478878012188,0.002747478878012188,123
cmpl-double_freq,,,0.0024550330481716404,0.002727814497968489,0.002727814497968489,124
