opcode,api,permissions,score,feature_importance_unobf,stability_change,ranking
,getDefaultPort_call,,0.0004161701487446223,0.0004624112763829137,0.0004624112763829137,330
and-long_freq,,,0.00041483319175798517,0.0004609257686199835,0.0004609257686199835,331
iget-char_freq,,,0.00040975902825424984,0.0004552878091713887,0.0004552878091713887,332
or-long/2addr_freq,,,0.0004073645774094847,0.0004526273082327608,0.0004526273082327608,333
div-double_freq,,,0.00040548744431463397,0.00045054160479403776,0.00045054160479403776,334
,onRequestFocus_call,,0.00040319689030781785,0.0004479965447864643,0.0004479965447864643,335
add-int_freq,,,0.00040253066274936684,0.000447256291943741,0.000447256291943741,336
mul-float/2addr_freq,,,0.00039387307283635797,0.00043763674759595333,0.00043763674759595333,337
,assignContactFromPhone_call,,0.00036550372825185936,0.0004061152536131771,0.0004061152536131771,338
,getCdmaEcio_call,,0.00036146350575406343,0.00040162611750451494,0.00040162611750451494,339
,loadLibrary_call,,0.0003594513107460068,0.0003993903452733409,0.0003993903452733409,340
,register_call,,0.00035213723424843324,0.0003912635936093703,0.0003912635936093703,341
,getName_call,,0.0003309056581633048,0.0003676729535147832,0.0003676729535147832,342
invoke-custom/range_freq,,,0.00032031585259266465,0.00035590650288073853,0.00035590650288073853,343
rem-long/2addr_freq,,,0.00031215242497978303,0.00034683602775531454,0.00034683602775531454,344
,queryGroups_call,,0.00031039563239286104,0.0003448840359920679,0.0003448840359920679,345
,,android.permission.MANAGE_ACCOUNTS_perm,0.00030616152921113086,0.0003401794769012565,0.0003401794769012565,346
,setLeft_call,,0.0003025000854364024,0.0003361112060404471,0.0003361112060404471,347
,insert_call,,0.0002932891725484343,0.0003258768583871493,0.0003258768583871493,348
,Character_call,,0.0002881005016208697,0.000320111668467633,0.000320111668467633,349
,DigestInputStream_call,,0.00027894186569988396,0.0003099354063332044,0.0003099354063332044,350
,,com.huawei.android.launcher.permission.CHANGE_BADGE_perm,0.0002742679822020099,0.0003047422024466777,0.0003047422024466777,351
,createPackageContext_call,,0.00026322750420192846,0.00029247500466880944,0.00029247500466880944,352
,getName_call,,0.0002597565092102082,0.000288618343566898,0.000288618343566898,353
rem-double/2addr_freq,,,0.0002569335144270645,0.00028548168269673836,0.00028548168269673836,354
,flush_call,,0.00025519543884688895,0.00028355048760765443,0.00028355048760765443,355
,killBackgroundProcesses_call,,0.00024931610462651396,0.00027701789402945995,0.00027701789402945995,356
add-float_freq,,,0.00024148904289970793,0.00026832115877745323,0.00026832115877745323,357
float-to-long_freq,,,0.00024107915338046252,0.0002678657259782917,0.0002678657259782917,358
,redirectErrorStream_call,,0.0002388752224803386,0.0002654169138670429,0.0002654169138670429,359
,iterator_call,,0.00023608045116168665,0.0002623116124018741,0.0002623116124018741,360
,callActivityOnNewIntent_call,,0.0002319158003156207,0.0002576842225729119,0.0002576842225729119,361
,getSubscriberId_call,,0.0002295909366711087,0.00025510104074567635,0.00025510104074567635,362
,ProviderInfo_call,,0.00022667429097000065,0.0002518603233000007,0.0002518603233000007,363
,connect_call,,0.00022601772447054049,0.00025113080496726723,0.00025113080496726723,364
,exitKeyguardSecurely_call,,0.00022459989040017327,0.0002495554337779703,0.0002495554337779703,365
,Float_call,,0.00022151029748283756,0.0002461225527587084,0.0002461225527587084,366
,getPackageArchiveInfo_call,,0.00022050682415538582,0.00024500758239487315,0.00024500758239487315,367
invoke-interface/range_freq,,,0.00021634449382829874,0.00024038277092033194,0.00024038277092033194,368
,addView_call,,0.0002100083091895587,0.00023334256576617636,0.00023334256576617636,369
ushr-int_freq,,,0.00020887707996772596,0.00023208564440858442,0.00023208564440858442,370
,callActivityOnRestoreInstanceState_call,,0.00020759103308729606,0.00023065670343032897,0.00023065670343032897,371
,getContactLookupUri_call,,0.00020479768675093143,0.00022755298527881273,0.00022755298527881273,372
,fillInStackTrace_call,,0.00019800372547447363,0.00022000413941608183,0.00022000413941608183,373
,toLocaleString_call,,0.00019399873764447352,0.0002155541529383039,0.0002155541529383039,374
,setDownloadListener_call,,0.00018870078770037547,0.0002096675418893061,0.0002096675418893061,375
,enqueue_call,,0.00018866369525292396,0.0002096263280588044,0.0002096263280588044,376
,getDefaultHost_call,,0.00018508866647092944,0.0002056540738565883,0.0002056540738565883,377
,getActiveSubscriptionInfoList_call,,0.0001844551438536771,0.000204950159837419,0.000204950159837419,378
,printStackTrace_call,,0.00017525341698860816,0.0001947260188762313,0.0001947260188762313,379
,toString_call,,0.0001744409452911227,0.0001938232725456919,0.0001938232725456919,380
,removeAccount_call,,0.00016916227128688176,0.0001879580792076464,0.0001879580792076464,381
,assignContactFromEmail_call,,0.00016659386391165994,0.0001851042932351777,0.0001851042932351777,382
,takeAudioCall_call,,0.00016435184101120864,0.00018261315667912072,0.00018261315667912072,383
,start_call,,0.00016333119812210071,0.00018147910902455638,0.00018147910902455638,384
,getActiveCount_call,,0.0001612072362969323,0.00017911915144103586,0.00017911915144103586,385
,NinePatchDrawable_call,,0.0001499507693249419,0.00016661196591660212,0.00016661196591660212,386
,isInCall_call,,0.0001483993372454684,0.0001648881524949649,0.0001648881524949649,387
,flush_call,,0.00014695196260584075,0.00016327995845093416,0.00016327995845093416,388
,addGpsStatusListener_call,,0.0001414853675642815,0.0001572059639603128,0.0001572059639603128,389
,setDefaultHostnameVerifier_call,,0.00013990887277600243,0.00015545430308444715,0.00015545430308444715,390
,Time_call,,0.00013817145488745152,0.00015352383876383505,0.00015352383876383505,391
unused_freq,,,0.0001333639998439101,0.00014818222204878898,0.00014818222204878898,392
,write_call,,0.0001312033506759355,0.00014578150075103945,0.00014578150075103945,393
,getLookupUri_call,,0.00012527323775207494,0.00013919248639119436,0.00013919248639119436,394
,getValue_call,,0.00012148452065365573,0.00013498280072628415,0.00013498280072628415,395
,startListening_call,,0.00011996234745017963,0.00013329149716686628,0.00013329149716686628,396
,disableNetwork_call,,0.00011082580178115598,0.00012313977975684,0.00012313977975684,397
,RSAPrivateCrtKeySpec_call,,0.00010305596233067661,0.0001145066248118629,0.0001145066248118629,398
,showInputMethodAndSubtypeEnabler_call,,0.00010062234132962616,0.00011180260147736241,0.00011180260147736241,399
,open_call,,0.00010039829243825895,0.00011155365826473217,0.00011155365826473217,400
,printStackTrace_call,,9.84373511420871e-05,0.00010937483460231899,0.00010937483460231899,401
,getRunningServices_call,,9.704076430574241e-05,0.00010782307145082491,0.00010782307145082491,402
,isOpened_call,,9.700444449607658e-05,0.00010778271610675176,0.00010778271610675176,403
,start_call,,9.682972313871753e-05,0.00010758858126524171,0.00010758858126524171,404
sput-wide_freq,,,9.662062534541657e-05,0.0001073562503837962,0.0001073562503837962,405
,printStackTrace_call,,9.626233525650968e-05,0.00010695815028501077,0.00010695815028501077,406
,set_call,,9.383580794911375e-05,0.00010426200883234862,0.00010426200883234862,407
,,com.android.launcher.permission.READ_SETTINGS_perm,9.300552926457994e-05,0.00010333947696064438,0.00010333947696064438,408
,createSipSession_call,,9.131124941291352e-05,0.00010145694379212613,0.00010145694379212613,409
,setSetting_call,,9.032962838598746e-05,0.00010036625376220829,0.00010036625376220829,410
,getInstance_call,,9.019660040243968e-05,0.00010021844489159966,0.00010021844489159966,411
,sendTextMessage_call,,8.992527368315351e-05,9.991697075905945e-05,9.991697075905945e-05,412
,text_call,,8.850210192492068e-05,9.833566880546743e-05,9.833566880546743e-05,413
,swipeDown_call,,8.82944456253372e-05,9.8104939583708e-05,9.8104939583708e-05,414
,write_call,,8.828939301042307e-05,9.809932556713675e-05,9.809932556713675e-05,415
,getNeighboringCellInfo_call,,8.828538862049689e-05,9.809487624499655e-05,9.809487624499655e-05,416
,addView_call,,8.682299751081518e-05,9.646999723423909e-05,9.646999723423909e-05,417
,isGsm_call,,8.600221163041676e-05,9.555801292268528e-05,9.555801292268528e-05,418
sub-float_freq,,,8.575348730848388e-05,9.528165256498208e-05,9.528165256498208e-05,419
,ready_call,,8.496530845764216e-05,9.440589828626906e-05,9.440589828626906e-05,420
,execSQL_call,,8.391909338688855e-05,9.324343709654283e-05,9.324343709654283e-05,421
,getCid_call,,8.30859428537972e-05,9.23177142819969e-05,9.23177142819969e-05,422
,unregister_call,,7.563141449833142e-05,8.403490499814602e-05,8.403490499814602e-05,423
,onStart_call,,7.507928102183062e-05,8.342142335758957e-05,8.342142335758957e-05,424
,setOnKeyListener_call,,7.336482548680945e-05,8.151647276312162e-05,8.151647276312162e-05,425
,registerReceiver_call,,7.086809464769882e-05,7.874232738633203e-05,7.874232738633203e-05,426
,rawQuery_call,,6.197102280877923e-05,6.885669200975471e-05,6.885669200975471e-05,427
,URLClassLoader_call,,6.190885640584695e-05,6.878761822871883e-05,6.878761822871883e-05,428
,notifyDirectoryChange_call,,5.3662397073163136e-05,5.962488563684793e-05,5.962488563684793e-05,429
,onLowMemory_call,,5.1526471724848644e-05,5.725163524983183e-05,5.725163524983183e-05,430
,setMinimumWidth_call,,5.149477900157345e-05,5.7216421112859396e-05,5.7216421112859396e-05,431
,showInCallScreen_call,,5.0454057919199156e-05,5.606006435466573e-05,5.606006435466573e-05,432
,keySet_call,,5.033917994464119e-05,5.593242216071244e-05,5.593242216071244e-05,433
,close_call,,5.0193067192666475e-05,5.577007465851831e-05,5.577007465851831e-05,434
,sendExtraCommand_call,,4.8771995985611596e-05,5.419110665067955e-05,5.419110665067955e-05,435
,getBaseStationId_call,,4.86745481125937e-05,5.4082831236215224e-05,5.4082831236215224e-05,436
,deleteHistoryTimeFrame_call,,4.8547510276536975e-05,5.3941678085041083e-05,5.3941678085041083e-05,437
,update_call,,4.812788265963847e-05,5.347542517737608e-05,5.347542517737608e-05,438
shr-int/lit8_freq,,,4.641277114889708e-05,5.156974572099676e-05,5.156974572099676e-05,439
,stopService_call,,4.640504153537669e-05,5.1561157261529655e-05,5.1561157261529655e-05,440
,query_call,,4.6367188059017996e-05,5.151909784335333e-05,5.151909784335333e-05,441
,loadClass_call,,3.873355617082933e-05,4.303728463425482e-05,4.303728463425482e-05,442
,sendDataMessage_call,,3.8722446111262494e-05,4.302494012362499e-05,4.302494012362499e-05,443
,sendOrderedBroadcast_call,,3.864485379363648e-05,4.293872643737387e-05,4.293872643737387e-05,444
,delete_call,,3.434016798065505e-05,3.815574220072783e-05,3.815574220072783e-05,445
,callActivityOnStart_call,,2.582125950365801e-05,2.869028833739779e-05,2.869028833739779e-05,446
,getContext_call,,2.5789074028969725e-05,2.8654526698855252e-05,2.8654526698855252e-05,447
,getVoiceMailNumber_call,,2.5762498389843845e-05,2.8624998210937607e-05,2.8624998210937607e-05,448
,reset_call,,2.5759548921676663e-05,2.862172102408518e-05,2.862172102408518e-05,449
,read_call,,2.5751072961373394e-05,2.8612303290414884e-05,2.8612303290414884e-05,450
,stopService_call,,2.5733034067677877e-05,2.8592260075197645e-05,2.8592260075197645e-05,451
,getVoiceMailAlphaTag_call,,2.2731616226332816e-05,2.525735136259202e-05,2.525735136259202e-05,452
,setAudioSource_call,,1.539696914939228e-05,1.7107743499324757e-05,1.7107743499324757e-05,453
,clearHistory_call,,7.716919643122218e-06,8.574355159024685e-06,8.574355159024685e-06,454
,getParent_call,,0.0,0.0,0.0,455
invoke-polymorphic_freq,,,0.0,0.0,0.0,456
invoke-polymorphic/range_freq,,,0.0,0.0,0.0,457
,getDeclaredMethods_call,,0.0,0.0,0.0,458
,forName_call,,0.0,0.0,0.0,459
,close_call,,0.0,0.0,0.0,460
const-method-handle_freq,,,0.0,0.0,0.0,461
,load_call,,0.0,0.0,0.0,462
,ensureCapacity_call,,0.0,0.0,0.0,463
,close_call,,0.0,0.0,0.0,464
,divideAndRemainder_call,,0.0,0.0,0.0,465
,getInetAddresses_call,,0.0,0.0,0.0,466
,Proxy_call,,0.0,0.0,0.0,467
,printStackTrace_call,,0.0,0.0,0.0,468
,printStackTrace_call,,0.0,0.0,0.0,469
,removeStickyBroadcast_call,,0.0,0.0,0.0,470
,close_call,,0.0,0.0,0.0,471
,sendBroadcast_call,,0.0,0.0,0.0,472
,substring_call,,0.0,0.0,0.0,473
,addOnAccountsUpdatedListener_call,,0.0,0.0,0.0,474
,blockingGetAuthToken_call,,0.0,0.0,0.0,475
,addAccount_call,,0.0,0.0,0.0,476
,confirmCredentials_call,,0.0,0.0,0.0,477
,editProperties_call,,0.0,0.0,0.0,478
,write_call,,0.0,0.0,0.0,479
,getAuthToken_call,,0.0,0.0,0.0,480
,getAuthTokenByFeatures_call,,0.0,0.0,0.0,481
,addCompletedDownload_call,,0.0,0.0,0.0,482
,destroy_call,,0.0,0.0,0.0,483
,getAuthTokenLabel_call,,0.0,0.0,0.0,484
,getCause_call,,0.0,0.0,0.0,485
,callActivityOnSaveInstanceState_call,,0.0,0.0,0.0,486
,swipeRight_call,,0.0,0.0,0.0,487
,getVendor_call,,0.0,0.0,0.0,488
,setDoInput_call,,0.0,0.0,0.0,489
,lock_call,,0.0,0.0,0.0,490
,isOpen_call,,0.0,0.0,0.0,491
,getInputStream_call,,0.0,0.0,0.0,492
,addNmeaListener_call,,0.0,0.0,0.0,493
,putValue_call,,0.0,0.0,0.0,494
div-int/lit8_freq,,,0.0,0.0,0.0,495
rem-int/lit8_freq,,,0.0,0.0,0.0,496
and-int/lit8_freq,,,0.0,0.0,0.0,497
or-int/lit8_freq,,,0.0,0.0,0.0,498
xor-int/lit8_freq,,,0.0,0.0,0.0,499
shl-int/lit8_freq,,,0.0,0.0,0.0,500
,onSignalStrengthsChanged_call,,0.0,0.0,0.0,501
,RSAPrivateKeySpec_call,,0.0,0.0,0.0,502
,RSAPublicKeySpec_call,,0.0,0.0,0.0,503
,applyLocalizedPattern_call,,0.0,0.0,0.0,504
,applyPattern_call,,0.0,0.0,0.0,505
,awaitTermination_call,,0.0,0.0,0.0,506
,getCompletedTaskCount_call,,0.0,0.0,0.0,507
,getTaskCount_call,,0.0,0.0,0.0,508
,newProxyInstance_call,,0.0,0.0,0.0,509
,dispatchKeyEvent_call,,0.0,0.0,0.0,510
,toString_call,,0.0,0.0,0.0,511
,IllegalCharsetNameException_call,,0.0,0.0,0.0,512
,getPublicKey_call,,0.0,0.0,0.0,513
,printStackTrace_call,,0.0,0.0,0.0,514
,getEncoded_call,,0.0,0.0,0.0,515
,setSeed_call,,0.0,0.0,0.0,516
,setProperty_call,,0.0,0.0,0.0,517
,hasFeatures_call,,0.0,0.0,0.0,518
,getRunningTasks_call,,0.0,0.0,0.0,519
,AlertDialog_call,,0.0,0.0,0.0,520
,onCreate_call,,0.0,0.0,0.0,521
,Application_call,,0.0,0.0,0.0,522
,attachBaseContext_call,,0.0,0.0,0.0,523
,setStaleCheckingEnabled_call,,0.0,0.0,0.0,524
,Attributes_call,,0.0,0.0,0.0,525
,sendOrderedBroadcastAsUser_call,,0.0,0.0,0.0,526
,ProcessBuilder_call,,0.0,0.0,0.0,527
,invoke_call,,0.0,0.0,0.0,528
,waitFor_call,,0.0,0.0,0.0,529
,getRuntime_call,,0.0,0.0,0.0,530
,getNetworkId_call,,0.0,0.0,0.0,531
,getSystemId_call,,0.0,0.0,0.0,532
,sendDataMessage_call,,0.0,0.0,0.0,533
,sendMultipartTextMessage_call,,0.0,0.0,0.0,534
,sendTextMessage_call,,0.0,0.0,0.0,535
,isVoiceMailNumber_call,,0.0,0.0,0.0,536
move-wide/16_freq,,,0.0,0.0,0.0,537
,,android.permission.WRITE_EXTERNAL_STORAGE_perm,0.0,0.0,0.0,538
,,android.permission.RECORD_AUDIO_perm,0.0,0.0,0.0,539
,get_call,,0.0,0.0,0.0,540
unused_freq,,,0.0,0.0,0.0,541
,DESKeySpec_call,,0.0,0.0,0.0,542
,DESedeKeySpec_call,,0.0,0.0,0.0,543
,getInstance_call,,0.0,0.0,0.0,544
,printStackTrace_call,,0.0,0.0,0.0,545
,getAlgorithm_call,,0.0,0.0,0.0,546
const-string/jumbo_freq,,,0.0,0.0,0.0,547
move-object/16_freq,,,0.0,0.0,0.0,548
,setRecognitionListener_call,,0.0,0.0,0.0,549
,,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION_perm,0.0,0.0,0.0,550
,,com.google.android.providers.gsf.permission.READ_GSERVICES_perm,0.0,0.0,0.0,551
,,android.permission.WRITE_SETTINGS_perm,0.0,0.0,0.0,552
,,android.permission.RECEIVE_SMS_perm,0.0,0.0,0.0,553
,,android.permission.WRITE_SYNC_SETTINGS_perm,0.0,0.0,0.0,554
,,com.sonyericsson.home.permission.BROADCAST_BADGE_perm,0.0,0.0,0.0,555
,,android.permission.GET_ACCOUNTS_perm,0.0,0.0,0.0,556
,getBaseStationLongitude_call,,0.0,0.0,0.0,557
,,android.permission.GET_TASKS_perm,0.0,0.0,0.0,558
,onCreate_call,,0.0,0.0,0.0,559
,getRootDirectory_call,,0.0,0.0,0.0,560
,isAlive_call,,0.0,0.0,0.0,561
,newWakeLock_call,,0.0,0.0,0.0,562
,getPrimaryStorageVolume_call,,0.0,0.0,0.0,563
,getStorageVolumes_call,,0.0,0.0,0.0,564
,addSearchUrl_call,,0.0,0.0,0.0,565
,deleteFromHistory_call,,0.0,0.0,0.0,566
,isWifiEnabled_call,,0.0,0.0,0.0,567
,setWifiEnabled_call,,0.0,0.0,0.0,568
,updateNetwork_call,,0.0,0.0,0.0,569
,getClassLoader_call,,0.0,0.0,0.0,570
,getDataDirectory_call,,0.0,0.0,0.0,571
,getDir_call,,0.0,0.0,0.0,572
,getExternalStorageDirectory_call,,0.0,0.0,0.0,573
,getExternalStoragePublicDirectory_call,,0.0,0.0,0.0,574
,getActiveSubscriptionInfo_call,,0.0,0.0,0.0,575
,getActiveSubscriptionInfoCount_call,,0.0,0.0,0.0,576
,getActiveSubscriptionInfoForSimSlotIndex_call,,0.0,0.0,0.0,577
,getDeviceSoftwareVersion_call,,0.0,0.0,0.0,578
,getLine1Number_call,,0.0,0.0,0.0,579
,getSimSerialNumber_call,,0.0,0.0,0.0,580
,enableNetwork_call,,0.0,0.0,0.0,581
,getConfiguredNetworks_call,,0.0,0.0,0.0,582
,getCdmaDbm_call,,0.0,0.0,0.0,583
,getGsmSignalStrength_call,,0.0,0.0,0.0,584
,sendMultipartTextMessage_call,,0.0,0.0,0.0,585
,getDisplayMessageBody_call,,0.0,0.0,0.0,586
,getDownloadCacheDirectory_call,,0.0,0.0,0.0,587
,,com.oppo.launcher.permission.READ_SETTINGS_perm,0.0,0.0,0.0,588
move/16_freq,,,0.0,0.0,0.0,589
,printStackTrace_call,,0.0,0.0,0.0,590
,doFinal_call,,0.0,0.0,0.0,591
,getInstance_call,,0.0,0.0,0.0,592
,init_call,,0.0,0.0,0.0,593
,close_call,,0.0,0.0,0.0,594
,write_call,,0.0,0.0,0.0,595
,printStackTrace_call,,0.0,0.0,0.0,596
,size_call,,0.0,0.0,0.0,597
,Adler32_call,,0.0,0.0,0.0,598
,reset_call,,0.0,0.0,0.0,599
,update_call,,0.0,0.0,0.0,600
,Deflater_call,,0.0,0.0,0.0,601
goto/32_freq,,,0.0,0.0,0.0,602
,flush_call,,0.0,0.0,0.0,603
,setCompressedSize_call,,0.0,0.0,0.0,604
,close_call,,0.0,0.0,0.0,605
,entries_call,,0.0,0.0,0.0,606
,JarFile_call,,0.0,0.0,0.0,607
,read_call,,0.0,0.0,0.0,608
,store_call,,0.0,0.0,0.0,609
,putAll_call,,0.0,0.0,0.0,610
,addAll_call,,0.0,0.0,0.0,611
ushr-int/lit8_freq,,,0.0,0.0,0.0,612
invoke-virtual/range_freq,,,0.0,0.0,0.0,613
invoke-direct/range_freq,,,0.0,0.0,0.0,614
sget-wide_freq,,,0.0,0.0,0.0,615
filled-new-array/range_freq,,,0.0,0.0,0.0,616
,finished_call,,0.0,0.0,0.0,617
,setToDefaults_call,,0.0,0.0,0.0,618
,delete_call,,0.0,0.0,0.0,619
,deleteDatabase_call,,0.0,0.0,0.0,620
,insertWithOnConflict_call,,0.0,0.0,0.0,621
,DexClassLoader_call,,0.0,0.0,0.0,622
,findLibrary_call,,0.0,0.0,0.0,623
,InMemoryDexClassLoader_call,,0.0,0.0,0.0,624
,PathClassLoader_call,,0.0,0.0,0.0,625
,reset_call,,0.0,0.0,0.0,626
,setFocusable_call,,0.0,0.0,0.0,627
,setTextSize_call,,0.0,0.0,0.0,628
,setBackgroundDrawable_call,,0.0,0.0,0.0,629
,onClick_call,,0.0,0.0,0.0,630
,getDisplayOriginatingAddress_call,,0.0,0.0,0.0,631
,setOnCheckedChangeListener_call,,0.0,0.0,0.0,632
,setVideoSource_call,,0.0,0.0,0.0,633
,startUsingNetworkFeature_call,,0.0,0.0,0.0,634
,isAvailable_call,,0.0,0.0,0.0,635
,close_call,,0.0,0.0,0.0,636
,makeAudioCall_call,,0.0,0.0,0.0,637
,getTextColors_call,,0.0,0.0,0.0,638
,abortBroadcast_call,,0.0,0.0,0.0,639
,delete_call,,0.0,0.0,0.0,640
,fileList_call,,0.0,0.0,0.0,641
,sendBroadcast_call,,0.0,0.0,0.0,642
,startActivity_call,,0.0,0.0,0.0,643
,startService_call,,0.0,0.0,0.0,644
,getOutputStream_call,,0.0,0.0,0.0,645
,isChecked_call,,0.0,0.0,0.0,646
,getOriginatingAddress_call,,0.0,0.0,0.0,647
,addOnSubscriptionsChangedListener_call,,0.0,0.0,0.0,648
,removeJavascriptInterface_call,,0.0,0.0,0.0,649
,setVerticalScrollbarOverlay_call,,0.0,0.0,0.0,650
,addProximityAlert_call,,0.0,0.0,0.0,651
,isProviderEnabled_call,,0.0,0.0,0.0,652
,requestLocationUpdates_call,,0.0,0.0,0.0,653
,requestSingleUpdate_call,,0.0,0.0,0.0,654
,AudioRecord_call,,0.0,0.0,0.0,655
,setIcon_call,,0.0,0.0,0.0,656
,setLogo_call,,0.0,0.0,0.0,657
,getMinimumFontSize_call,,0.0,0.0,0.0,658
,setDefaultZoom_call,,0.0,0.0,0.0,659
,setMinimumFontSize_call,,0.0,0.0,0.0,660
,ServiceInfo_call,,0.0,0.0,0.0,661
,getVisibility_call,,0.0,0.0,0.0,662
,removeAllViews_call,,0.0,0.0,0.0,663
,addToMyContactsGroup_call,,0.0,0.0,0.0,664
,createPersonInMyContactsGroup_call,,0.0,0.0,0.0,665
,getSetting_call,,0.0,0.0,0.0,666
,markAsContacted_call,,0.0,0.0,0.0,667
,toString_call,,0.0,0.0,0.0,668
,decode_call,,0.0,0.0,0.0,669
,truncateHistory_call,,0.0,0.0,0.0,670
,updateVisitedHistory_call,,0.0,0.0,0.0,671
,insert_call,,0.0,0.0,0.0,672
,getLastOutgoingCall_call,,0.0,0.0,0.0,673
,addPostalLocation_call,,0.0,0.0,0.0,674
,addToGroup_call,,0.0,0.0,0.0,675
,setTextSize_call,,0.0,0.0,0.0,676
