Path,True Label,Predicted Label,Prediction Probability,Deviation,Error Type
/storage/xiaowei_data/DWFS-Obfuscation/igexin/E10B468D627A9EFDEFDCE4BBFECE9D94C41C0C61D1B319087CC241FFE033FE18.dgl,3,2,0.36416497826576233,0.13583502173423767,FP
/storage/xiaowei_data/DWFS-Obfuscation/kuguo/232FF2C0C198F9E8A6FA5E9D0279DF4F37E7B2001E08E5E7C468EBC1AC482562.dgl,4,2,0.39121171832084656,0.10878828167915344,FP
/storage/xiaowei_data/DWFS-Obfuscation/igexin/FF64134407A47F8A82199AD271A302FB96D2D2FBFC0EF4E82B0EAC22F1D1E4D5.dgl,3,2,0.5841287970542908,0.08412879705429077,FP
/storage/xiaowei_data/DWFS-Obfuscation/openconnection/AB9498189176E284865C33DED497901D64744ABF9CE947A143C2AB4D9D1A5DAA.dgl,6,5,0.5893588066101074,0.08935880661010742,FP
/storage/xiaowei_data/DWFS-Obfuscation/spyagent/0D8BD614AD216211891FF60707EB8EAA3F2593525BE18EA6F451C0FE185ACAF5.dgl,7,0,0.9529134631156921,0.45291346311569214,FN
/storage/xiaowei_data/DWFS-Obfuscation/igexin/9BA1D33236242CB8A7348C4E3710C20B2169638C684AC834EAB767380E24180E.dgl,3,2,0.5372941493988037,0.03729414939880371,FP
/storage/xiaowei_data/DWFS-Obfuscation/dzhtny/50BAC324C29047D1C7776CFAAC2C973FC3B20FFD9F4C5F9DAEA3699A188A3C9A.dgl,2,4,0.5549647808074951,0.05496478080749512,FP
/storage/xiaowei_data/DWFS-Obfuscation/igexin/8D4383FDFC65F19E840EE1960D6772BF2C652F04FFB99CD18E43479A8421672D.dgl,3,2,0.5067338943481445,0.006733894348144531,FP
/storage/xiaowei_data/DWFS-Obfuscation/openconnection/04086083B8FEF3F0CBD84DBB089265F5AEFEBBCB22359878AAE2C63290DDF3EA.dgl,6,1,0.4080897569656372,0.09191024303436279,FP
/storage/xiaowei_data/DWFS-Obfuscation/igexin/28A76337EB6AF3D9F67C12C20D270635271077E1FEE55719E2BE6DBFCA37D52B.dgl,3,4,0.4478011131286621,0.05219888687133789,FP
/storage/xiaowei_data/DWFS-Obfuscation/igexin/AC1AE301C1F2B1628E98A1B1881A7D9FD599409FC8CE71F0B7282272D00488D6.dgl,3,2,0.47334757447242737,0.026652425527572632,FP
/storage/xiaowei_data/DWFS-Obfuscation/adpush/5F123AEDFF01E93834352BA04153E94E003AADF3F6C9455431BCA261AC885FD1.dgl,0,4,0.9068861603736877,0.40688616037368774,FP
/storage/xiaowei_data/DWFS-Obfuscation/openconnection/CA74CE8FC3E35D4CC2982A09F0E11B65808B825677C3DEC0DB371D64B6897BC3.dgl,6,5,0.71755051612854,0.21755051612854004,FP
/storage/xiaowei_data/DWFS-Obfuscation/spyagent/425CD7EA542127A61AEBCE027D7800D4137CE61E99AC719181496BD55DD319E1.dgl,7,4,0.9016237258911133,0.4016237258911133,FP
/storage/xiaowei_data/DWFS-Obfuscation/adpush/B3CADE438BC98E9D71F3B7B14CE75126A1D0598488BFF82B8D7F9271B758FB35.dgl,0,6,0.5983771681785583,0.09837716817855835,FP
/storage/xiaowei_data/DWFS-Obfuscation/spyagent/5E8C2BA697CCD7CB7AEC8A5F29524DDECABD642FAD80389828D9791627A965AF.dgl,7,0,0.6763960719108582,0.17639607191085815,FN
/storage/xiaowei_data/DWFS-Obfuscation/kuguo/542034736CDD79ADC99D680B1A9FEDE0EF8EE98015673AE65A0B37B1C0A98112.dgl,4,2,0.3466796278953552,0.15332037210464478,FP
/storage/xiaowei_data/DWFS-Obfuscation/kuguo/463861D44BAA9C02C72F014E05C727B34DF7455736296DB8EEF37255942E806E.dgl,4,0,0.5555029511451721,0.05550295114517212,FN
/storage/xiaowei_data/DWFS-Obfuscation/igexin/2BB2743FE7FB97EF3E7B237E8B4069EA0E39337C5578C2B5C17C4B07B08EC92A.dgl,3,2,0.41311535239219666,0.08688464760780334,FP
/storage/xiaowei_data/DWFS-Obfuscation/igexin/CB8144B0AE4D24BD8BC9AD654C6A4F65DC51426F415A18CB5D4BECDE2E9780D0.dgl,3,2,0.4287533760070801,0.07124662399291992,FP
