Family,Obfuscation Method,Accuracy,Precision,Recall,F1
adpush,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9010819165378671,0.9479357331706324,0.9006763285024154,0.9237019421323821
adpush,Rebuild_NewAlignment_NewSignature_ClassRename,0.9003091190108191,0.9479357331706324,0.9006763285024154,0.9237019421323821
adpush,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9002320185614849,0.9479357331706324,0.9006763285024154,0.9237019421323821
adpush,Rebuild_NewAlignment_NewSignature_MethodRename,0.9010819165378671,0.9479357331706324,0.9006763285024154,0.9237019421323821
artemis,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9961202715809894,0.964319248826291,0.9961202715809894,0.9799618320610687
artemis,Rebuild_NewAlignment_NewSignature_ClassRename,0.9961202715809894,0.964319248826291,0.9961202715809894,0.9799618320610687
artemis,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9961202715809894,0.964319248826291,0.9961202715809894,0.9799618320610687
artemis,Rebuild_NewAlignment_NewSignature_MethodRename,0.9961202715809894,0.964319248826291,0.9961202715809894,0.9799618320610687
dzhtny,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9746543778801844,0.9141004862236629,0.9746543778801844,0.9434067465848899
dzhtny,Rebuild_NewAlignment_NewSignature_ClassRename,0.9746543778801844,0.9141004862236629,0.9746543778801844,0.9434067465848899
dzhtny,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9746543778801844,0.9141004862236629,0.9746543778801844,0.9434067465848899
dzhtny,Rebuild_NewAlignment_NewSignature_MethodRename,0.9746543778801844,0.9141004862236629,0.9746543778801844,0.9434067465848899
igexin,Rebuild_NewAlignment_NewSignature_CallIndirection,0.988009592326139,0.9663799843627833,0.988009592326139,0.9770750988142293
igexin,Rebuild_NewAlignment_NewSignature_ClassRename,0.988009592326139,0.9663799843627833,0.988009592326139,0.9770750988142293
igexin,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.988009592326139,0.9663799843627833,0.988009592326139,0.9770750988142293
igexin,Rebuild_NewAlignment_NewSignature_MethodRename,0.988009592326139,0.9663799843627833,0.988009592326139,0.9770750988142293
kuguo,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9111424541607899,0.9352153456387985,0.9111424541607899,0.9230219682086087
kuguo,Rebuild_NewAlignment_NewSignature_ClassRename,0.9111424541607899,0.9352153456387985,0.9111424541607899,0.9230219682086087
kuguo,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9111424541607899,0.9352153456387985,0.9111424541607899,0.9230219682086087
kuguo,Rebuild_NewAlignment_NewSignature_MethodRename,0.9111424541607899,0.9352153456387985,0.9111424541607899,0.9230219682086087
leadbolt,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9660377358490566,0.7901234567901234,0.9660377358490566,0.8692699490662139
leadbolt,Rebuild_NewAlignment_NewSignature_ClassRename,0.9660377358490566,0.7901234567901234,0.9660377358490566,0.8692699490662139
leadbolt,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9660377358490566,0.7901234567901234,0.9660377358490566,0.8692699490662139
leadbolt,Rebuild_NewAlignment_NewSignature_MethodRename,0.9660377358490566,0.7901234567901234,0.9660377358490566,0.8692699490662139
openconnection,Rebuild_NewAlignment_NewSignature_CallIndirection,0.7322834645669292,0.8456299659477866,0.7332677165354331,0.7854507116499736
openconnection,Rebuild_NewAlignment_NewSignature_ClassRename,0.7322834645669292,0.8456299659477866,0.7332677165354331,0.7854507116499736
openconnection,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.7362204724409449,0.8456299659477866,0.7332677165354331,0.7854507116499736
openconnection,Rebuild_NewAlignment_NewSignature_MethodRename,0.7322834645669292,0.8456299659477866,0.7332677165354331,0.7854507116499736
spyagent,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9080459770114943,0.9349112426035503,0.9080459770114943,0.9212827988338192
spyagent,Rebuild_NewAlignment_NewSignature_ClassRename,0.9080459770114943,0.9349112426035503,0.9080459770114943,0.9212827988338192
spyagent,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9080459770114943,0.9349112426035503,0.9080459770114943,0.9212827988338192
spyagent,Rebuild_NewAlignment_NewSignature_MethodRename,0.9080459770114943,0.9349112426035503,0.9080459770114943,0.9212827988338192
