Family,Obfuscation Method,Accuracy,Precision,Recall,F1
adpush,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9443585780525502,0.9364228265032555,0.9449275362318841,0.9406559584495526
adpush,Rebuild_NewAlignment_NewSignature_ClassRename,0.9443585780525502,0.9364228265032555,0.9449275362318841,0.9406559584495526
adpush,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.945862335653519,0.9364228265032555,0.9449275362318841,0.9406559584495526
adpush,Rebuild_NewAlignment_NewSignature_MethodRename,0.9451313755795981,0.9364228265032555,0.9449275362318841,0.9406559584495526
artemis,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9961202715809894,0.9734597156398104,0.9961202715809894,0.9846596356663471
artemis,Rebuild_NewAlignment_NewSignature_ClassRename,0.9961202715809894,0.9734597156398104,0.9961202715809894,0.9846596356663471
artemis,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9961202715809894,0.9734597156398104,0.9961202715809894,0.9846596356663471
artemis,Rebuild_NewAlignment_NewSignature_MethodRename,0.9961202715809894,0.9734597156398104,0.9961202715809894,0.9846596356663471
dzhtny,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9953917050691244,0.9201277955271565,0.9953917050691244,0.9562811289429994
dzhtny,Rebuild_NewAlignment_NewSignature_ClassRename,0.9953917050691244,0.9201277955271565,0.9953917050691244,0.9562811289429994
dzhtny,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9953917050691244,0.9201277955271565,0.9953917050691244,0.9562811289429994
dzhtny,Rebuild_NewAlignment_NewSignature_MethodRename,0.9953917050691244,0.9201277955271565,0.9953917050691244,0.9562811289429994
igexin,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9920063948840927,0.9896331738437002,0.9920063948840927,0.9908183632734531
igexin,Rebuild_NewAlignment_NewSignature_ClassRename,0.9920063948840927,0.9896331738437002,0.9920063948840927,0.9908183632734531
igexin,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9920063948840927,0.9896331738437002,0.9920063948840927,0.9908183632734531
igexin,Rebuild_NewAlignment_NewSignature_MethodRename,0.9920063948840927,0.9896331738437002,0.9920063948840927,0.9908183632734531
kuguo,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9273624823695346,0.9508315256688359,0.9273624823695346,0.9389503748661192
kuguo,Rebuild_NewAlignment_NewSignature_ClassRename,0.9273624823695346,0.9508315256688359,0.9273624823695346,0.9389503748661192
kuguo,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9273624823695346,0.9508315256688359,0.9273624823695346,0.9389503748661192
kuguo,Rebuild_NewAlignment_NewSignature_MethodRename,0.9273624823695346,0.9508315256688359,0.9273624823695346,0.9389503748661192
leadbolt,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9660377358490566,0.8827586206896552,0.9660377358490566,0.9225225225225225
leadbolt,Rebuild_NewAlignment_NewSignature_ClassRename,0.9660377358490566,0.8827586206896552,0.9660377358490566,0.9225225225225225
leadbolt,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9660377358490566,0.8827586206896552,0.9660377358490566,0.9225225225225225
leadbolt,Rebuild_NewAlignment_NewSignature_MethodRename,0.9660377358490566,0.8827586206896552,0.9660377358490566,0.9225225225225225
openconnection,Rebuild_NewAlignment_NewSignature_CallIndirection,0.6771653543307087,0.7652947719688543,0.6771653543307087,0.7185378590078328
openconnection,Rebuild_NewAlignment_NewSignature_ClassRename,0.6771653543307087,0.7652947719688543,0.6771653543307087,0.7185378590078328
openconnection,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.6771653543307087,0.7652947719688543,0.6771653543307087,0.7185378590078328
openconnection,Rebuild_NewAlignment_NewSignature_MethodRename,0.6771653543307087,0.7652947719688543,0.6771653543307087,0.7185378590078328
spyagent,Rebuild_NewAlignment_NewSignature_CallIndirection,0.8984674329501916,0.9630390143737166,0.8984674329501916,0.929633300297324
spyagent,Rebuild_NewAlignment_NewSignature_ClassRename,0.8984674329501916,0.9630390143737166,0.8984674329501916,0.929633300297324
spyagent,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.8984674329501916,0.9630390143737166,0.8984674329501916,0.929633300297324
spyagent,Rebuild_NewAlignment_NewSignature_MethodRename,0.8984674329501916,0.9630390143737166,0.8984674329501916,0.929633300297324
