Family,Obfuscation Method,Accuracy,Precision,Recall,F1
adpush,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9443585780525502,1.0,0.9443585780525502,0.9713831478537361
adpush,Rebuild_NewAlignment_NewSignature_ClassRename,0.9443585780525502,1.0,0.9443585780525502,0.9713831478537361
adpush,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.945862335653519,1.0,0.945862335653519,0.9721780604133545
adpush,Rebuild_NewAlignment_NewSignature_MethodRename,0.9451313755795981,1.0,0.9451313755795981,0.9717918156535558
artemis,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9961202715809894,1.0,0.9961202715809894,0.9980563654033041
artemis,Rebuild_NewAlignment_NewSignature_ClassRename,0.9961202715809894,1.0,0.9961202715809894,0.9980563654033041
artemis,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9961202715809894,1.0,0.9961202715809894,0.9980563654033041
artemis,Rebuild_NewAlignment_NewSignature_MethodRename,0.9961202715809894,1.0,0.9961202715809894,0.9980563654033041
dzhtny,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9953917050691244,1.0,0.9953917050691244,0.9976905311778291
dzhtny,Rebuild_NewAlignment_NewSignature_ClassRename,0.9953917050691244,1.0,0.9953917050691244,0.9976905311778291
dzhtny,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9953917050691244,1.0,0.9953917050691244,0.9976905311778291
dzhtny,Rebuild_NewAlignment_NewSignature_MethodRename,0.9953917050691244,1.0,0.9953917050691244,0.9976905311778291
igexin,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9920063948840927,1.0,0.9920063948840927,0.9959871589085073
igexin,Rebuild_NewAlignment_NewSignature_ClassRename,0.9920063948840927,1.0,0.9920063948840927,0.9959871589085073
igexin,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9920063948840927,1.0,0.9920063948840927,0.9959871589085073
igexin,Rebuild_NewAlignment_NewSignature_MethodRename,0.9920063948840927,1.0,0.9920063948840927,0.9959871589085073
kuguo,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9273624823695346,1.0,0.9273624823695346,0.9623124771313575
kuguo,Rebuild_NewAlignment_NewSignature_ClassRename,0.9273624823695346,1.0,0.9273624823695346,0.9623124771313575
kuguo,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9273624823695346,1.0,0.9273624823695346,0.9623124771313575
kuguo,Rebuild_NewAlignment_NewSignature_MethodRename,0.9273624823695346,1.0,0.9273624823695346,0.9623124771313575
leadbolt,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9660377358490566,1.0,0.9660377358490566,0.9827255278310941
leadbolt,Rebuild_NewAlignment_NewSignature_ClassRename,0.9660377358490566,1.0,0.9660377358490566,0.9827255278310941
leadbolt,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9660377358490566,1.0,0.9660377358490566,0.9827255278310941
leadbolt,Rebuild_NewAlignment_NewSignature_MethodRename,0.9660377358490566,1.0,0.9660377358490566,0.9827255278310941
openconnection,Rebuild_NewAlignment_NewSignature_CallIndirection,0.6771653543307087,1.0,0.6771653543307087,0.8075117370892019
openconnection,Rebuild_NewAlignment_NewSignature_ClassRename,0.6771653543307087,1.0,0.6771653543307087,0.8075117370892019
openconnection,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.6771653543307087,1.0,0.6771653543307087,0.8075117370892019
openconnection,Rebuild_NewAlignment_NewSignature_MethodRename,0.6771653543307087,1.0,0.6771653543307087,0.8075117370892019
spyagent,Rebuild_NewAlignment_NewSignature_CallIndirection,0.8984674329501916,1.0,0.8984674329501916,0.9465186680121089
spyagent,Rebuild_NewAlignment_NewSignature_ClassRename,0.8984674329501916,1.0,0.8984674329501916,0.9465186680121089
spyagent,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.8984674329501916,1.0,0.8984674329501916,0.9465186680121089
spyagent,Rebuild_NewAlignment_NewSignature_MethodRename,0.8984674329501916,1.0,0.8984674329501916,0.9465186680121089
