Family,Obfuscation Method,Accuracy,Precision,Recall,F1
adpush,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9180834621329211,1.0,0.9180834621329211,0.9572925060435133
adpush,Rebuild_NewAlignment_NewSignature_ClassRename,0.9180834621329211,1.0,0.9180834621329211,0.9572925060435133
adpush,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9180201082753287,1.0,0.9180201082753287,0.9572580645161292
adpush,Rebuild_NewAlignment_NewSignature_MethodRename,0.9180834621329211,1.0,0.9180834621329211,0.9572925060435133
artemis,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9932104752667313,1.0,0.9932104752667313,0.9965936739659368
artemis,Rebuild_NewAlignment_NewSignature_ClassRename,0.9932104752667313,1.0,0.9932104752667313,0.9965936739659368
artemis,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9932104752667313,1.0,0.9932104752667313,0.9965936739659368
artemis,Rebuild_NewAlignment_NewSignature_MethodRename,0.9932104752667313,1.0,0.9932104752667313,0.9965936739659368
dzhtny,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9746543778801844,1.0,0.9746543778801844,0.9871645274212368
dzhtny,Rebuild_NewAlignment_NewSignature_ClassRename,0.9746543778801844,1.0,0.9746543778801844,0.9871645274212368
dzhtny,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9746543778801844,1.0,0.9746543778801844,0.9871645274212368
dzhtny,Rebuild_NewAlignment_NewSignature_MethodRename,0.9746543778801844,1.0,0.9746543778801844,0.9871645274212368
igexin,Rebuild_NewAlignment_NewSignature_CallIndirection,0.991207034372502,1.0,0.991207034372502,0.9955841027699718
igexin,Rebuild_NewAlignment_NewSignature_ClassRename,0.991207034372502,1.0,0.991207034372502,0.9955841027699718
igexin,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.991207034372502,1.0,0.991207034372502,0.9955841027699718
igexin,Rebuild_NewAlignment_NewSignature_MethodRename,0.991207034372502,1.0,0.991207034372502,0.9955841027699718
kuguo,Rebuild_NewAlignment_NewSignature_CallIndirection,0.926657263751763,1.0,0.926657263751763,0.9619326500732065
kuguo,Rebuild_NewAlignment_NewSignature_ClassRename,0.926657263751763,1.0,0.926657263751763,0.9619326500732065
kuguo,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.926657263751763,1.0,0.926657263751763,0.9619326500732065
kuguo,Rebuild_NewAlignment_NewSignature_MethodRename,0.926657263751763,1.0,0.926657263751763,0.9619326500732065
leadbolt,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9622641509433962,1.0,0.9622641509433962,0.9807692307692307
leadbolt,Rebuild_NewAlignment_NewSignature_ClassRename,0.9622641509433962,1.0,0.9622641509433962,0.9807692307692307
leadbolt,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9622641509433962,1.0,0.9622641509433962,0.9807692307692307
leadbolt,Rebuild_NewAlignment_NewSignature_MethodRename,0.9622641509433962,1.0,0.9622641509433962,0.9807692307692307
openconnection,Rebuild_NewAlignment_NewSignature_CallIndirection,0.7834645669291339,1.0,0.7834645669291339,0.8785871964679912
openconnection,Rebuild_NewAlignment_NewSignature_ClassRename,0.7834645669291339,1.0,0.7834645669291339,0.8785871964679912
openconnection,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.7834645669291339,1.0,0.7834645669291339,0.8785871964679912
openconnection,Rebuild_NewAlignment_NewSignature_MethodRename,0.7834645669291339,1.0,0.7834645669291339,0.8785871964679912
spyagent,Rebuild_NewAlignment_NewSignature_CallIndirection,0.8448275862068966,1.0,0.8448275862068966,0.9158878504672897
spyagent,Rebuild_NewAlignment_NewSignature_ClassRename,0.8448275862068966,1.0,0.8448275862068966,0.9158878504672897
spyagent,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.8448275862068966,1.0,0.8448275862068966,0.9158878504672897
spyagent,Rebuild_NewAlignment_NewSignature_MethodRename,0.8448275862068966,1.0,0.8448275862068966,0.9158878504672897
