Family,Obfuscation Method,Accuracy,Precision,Recall,F1
adpush,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9010819165378671,1.0,0.9010819165378671,0.9479674796747968
adpush,Rebuild_NewAlignment_NewSignature_ClassRename,0.9003091190108191,1.0,0.9003091190108191,0.9475396502643352
adpush,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9002320185614849,1.0,0.9002320185614849,0.9474969474969475
adpush,Rebuild_NewAlignment_NewSignature_MethodRename,0.9010819165378671,1.0,0.9010819165378671,0.9479674796747968
artemis,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9961202715809894,1.0,0.9961202715809894,0.9980563654033041
artemis,Rebuild_NewAlignment_NewSignature_ClassRename,0.9961202715809894,1.0,0.9961202715809894,0.9980563654033041
artemis,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9961202715809894,1.0,0.9961202715809894,0.9980563654033041
artemis,Rebuild_NewAlignment_NewSignature_MethodRename,0.9961202715809894,1.0,0.9961202715809894,0.9980563654033041
dzhtny,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9746543778801844,1.0,0.9746543778801844,0.9871645274212368
dzhtny,Rebuild_NewAlignment_NewSignature_ClassRename,0.9746543778801844,1.0,0.9746543778801844,0.9871645274212368
dzhtny,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9746543778801844,1.0,0.9746543778801844,0.9871645274212368
dzhtny,Rebuild_NewAlignment_NewSignature_MethodRename,0.9746543778801844,1.0,0.9746543778801844,0.9871645274212368
igexin,Rebuild_NewAlignment_NewSignature_CallIndirection,0.988009592326139,1.0,0.988009592326139,0.9939686369119423
igexin,Rebuild_NewAlignment_NewSignature_ClassRename,0.988009592326139,1.0,0.988009592326139,0.9939686369119423
igexin,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.988009592326139,1.0,0.988009592326139,0.9939686369119423
igexin,Rebuild_NewAlignment_NewSignature_MethodRename,0.988009592326139,1.0,0.988009592326139,0.9939686369119423
kuguo,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9111424541607899,1.0,0.9111424541607899,0.9535055350553506
kuguo,Rebuild_NewAlignment_NewSignature_ClassRename,0.9111424541607899,1.0,0.9111424541607899,0.9535055350553506
kuguo,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9111424541607899,1.0,0.9111424541607899,0.9535055350553506
kuguo,Rebuild_NewAlignment_NewSignature_MethodRename,0.9111424541607899,1.0,0.9111424541607899,0.9535055350553506
leadbolt,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9660377358490566,1.0,0.9660377358490566,0.9827255278310941
leadbolt,Rebuild_NewAlignment_NewSignature_ClassRename,0.9660377358490566,1.0,0.9660377358490566,0.9827255278310941
leadbolt,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9660377358490566,1.0,0.9660377358490566,0.9827255278310941
leadbolt,Rebuild_NewAlignment_NewSignature_MethodRename,0.9660377358490566,1.0,0.9660377358490566,0.9827255278310941
openconnection,Rebuild_NewAlignment_NewSignature_CallIndirection,0.7322834645669292,1.0,0.7322834645669292,0.8454545454545455
openconnection,Rebuild_NewAlignment_NewSignature_ClassRename,0.7322834645669292,1.0,0.7322834645669292,0.8454545454545455
openconnection,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.7362204724409449,1.0,0.7362204724409449,0.8480725623582767
openconnection,Rebuild_NewAlignment_NewSignature_MethodRename,0.7322834645669292,1.0,0.7322834645669292,0.8454545454545455
spyagent,Rebuild_NewAlignment_NewSignature_CallIndirection,0.9080459770114943,1.0,0.9080459770114943,0.9518072289156626
spyagent,Rebuild_NewAlignment_NewSignature_ClassRename,0.9080459770114943,1.0,0.9080459770114943,0.9518072289156626
spyagent,Rebuild_NewAlignment_NewSignature_ConstStringEncryption,0.9080459770114943,1.0,0.9080459770114943,0.9518072289156626
spyagent,Rebuild_NewAlignment_NewSignature_MethodRename,0.9080459770114943,1.0,0.9080459770114943,0.9518072289156626
