Scope,Family,Accuracy,Precision,Recall,F1-Score,TP,FP,FN,TN,FPR,FNR
Overall,,0.9386272220059686,0.9383651489249859,0.9386272220059686,0.938196122617885,,,,,,
Per-Family,AdPush,0.9689892305696121,0.909234411996843,0.9028213166144201,0.9060165159260716,1152,115,124,6316,0.017882133416264965,0.09717868338557993
Per-Family,Artemis,0.9940314000259505,0.9553941908713693,0.9967532467532467,0.975635593220339,921,43,3,6740,0.00633937785640572,0.003246753246753247
Per-Family,Dzhtny,0.9924743739457635,0.92578125,0.9595141700404858,0.9423459244532804,474,38,20,7175,0.005268265631498683,0.04048582995951417
Per-Family,Igexin,0.9933826391592059,0.9734957020057307,0.9898033503277495,0.9815817984832069,1359,37,14,6297,0.0058414903694347965,0.010196649672250545
Per-Family,Kuguo,0.9673024523160763,0.9350752177355502,0.8741672834937083,0.9035960214231064,1181,82,170,6274,0.012901195720578981,0.12583271650629163
Per-Family,Leadbolt,0.9924743739457635,0.9302788844621513,0.9530612244897959,0.941532258064516,467,35,23,7182,0.004849660523763337,0.04693877551020408
Per-Family,OpenConnection,0.9802776696509666,0.9365781710914455,0.9505988023952096,0.9435364041604755,1270,86,66,6285,0.013498665829540103,0.04940119760479042
Per-Family,SpyAgent,0.9883223043985987,0.9172259507829977,0.8855291576673866,0.9010989010989011,410,37,53,7207,0.005107675317504142,0.11447084233261338
