Family Name,Total Graphs,Total Size (GB),Node Avg,Node Median,Node Max,Node Min,Edge Avg,Edge Median,Edge Max,Edge Min,Degree Avg,Degree Median,Degree Max,Degree Min
adpush,1409,1.14,536.00,327.0,7308,2,853.33,385.0,17522,1,1.59,1.0,796,0
spyagent,528,1.19,1490.70,1731.0,2809,32,3090.48,3622.0,5868,25,2.07,1.0,438,0
kuguo,1500,3.12,1379.20,957.0,4915,2,2852.69,1673.0,11600,1,2.07,1.0,1048,0
dzhtny,552,5.29,6350.03,6516.0,10486,437,15408.29,15461.5,28427,569,2.43,1.0,2782,0
leadbolt,554,2.46,2957.73,3023.0,7178,286,5076.61,5587.0,15037,352,1.72,1.0,1488,0
igexin,1500,6.59,2911.93,2707.0,10012,223,6949.47,6495.0,26996,257,2.39,1.0,2283,0
artemis,1032,1.09,700.57,136.0,2765,41,1239.70,160.0,4987,34,1.77,1.0,147,0
openconnection,1488,13.75,6141.70,6705.0,8345,22,13308.12,14763.0,19797,18,2.17,1.0,1539,0
