Feature,Ranking
divideMessage_call,291
downloadMultimediaMessage_call,292
getDefault_call,293
sendDataMessage_call,294
sendMultimediaMessage_call,295
createFromPdu_call,296
getMessageBody_call,297
addOnSubscriptionsChangedListener_call,298
getActiveSubscriptionInfoList_call,299
getAllCellInfo_call,300
getCellLocation_call,301
getDeviceId_call,302
getGroupIdLevel1_call,303
getNeighboringCellInfo_call,304
getSimState_call,305
getSubscriberId_call,306
getVoiceMailAlphaTag_call,307
getVoiceMailNumber_call,308
listen_call,309
set_call,310
Time_call,311
toMillis_call,312
encode_call,313
addView_call,314
getLayoutInflater_call,315
aadView_call,316
saveWebArchive_call,317
setTag_call,318
setLeft_call,319
getTextColors_call,320
setFocusable_call,321
setFocusableInTouchMode_call,322
setGravity_call,323
assignContactFromEmail_call,324
assignContactFromPhone_call,325
setOnCheckedChangeListener_call,326
setText_call,327
cancel_call,328
BaseDexClassLoader_call,329
DexFile_call,330
mark_call,331
reset_call,332
close_call,333
readLine_call,334
createNewFile_call,335
delete_call,336
list_call,337
listFiles_call,338
mkdir_call,339
renameTo_call,340
toString_call,341
write_call,342
read_call,343
write_call,344
close_call,345
LineNumberReader_call,346
readLine_call,347
markSupported_call,348
initCause_call,349
Character_call,350
toTitleCase_call,351
ClassLoader_call,352
fillInStackTrace_call,353
Float_call,354
printStackTrace_call,355
byteValue_call,356
printStackTrace_call,357
redirectErrorStream_call,358
setAccessible_call,359
exec_call,360
getRuntime_call,361
substring_call,362
getDisplayName_call,363
getDefaultPort_call,364
connect_call,365
getHeaderField_call,366
isError_call,367
isOverflow_call,368
printStackTrace_call,369
printStackTrace_call,370
DigestInputStream_call,371
getMessageDigest_call,372
read_call,373
getModulus_call,374
getModulus_call,375
printStackTrace_call,376
RSAPrivateCrtKeySpec_call,377
RSAPrivateKeySpec_call,378
getInstance_call,379
done_call,380
getActiveCount_call,381
keys_call,382
putAll_call,383
getName_call,384
put_call,385
iterator_call,386
keySet_call,387
finish_call,388
getBlockSize_call,389
getKeySpec_call,390
getInstance_call,391
init_call,392
generateSecret_call,393
SecretKeySpec_call,394
printStackTrace_call,395
setIntParameter_call,396
getElementsByTagName_call,397
nextText_call,398
setFeature_call,399
text_call,400
android.permission.READ_PROFILE_perm,401
android.permission.MANAGE_ACCOUNTS_perm,402
android.permission.READ_EXTERNAL_STORAGE_perm,403
